epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2203.09,0.95845,1.04359,1.25851,0.59911,0.59021,0.56703,0.3619,1.34659,1.61892,1.71356,0.000660045,0.000660045,0.000660045
43,2254.88,0.90598,1.04105,1.23011,0.58639,0.48489,0.54373,0.36055,1.34357,1.55911,1.75122,0.000649046,0.000649046,0.000649046
44,2306.65,0.91301,1.01246,1.24039,0.45573,0.60575,0.5141,0.3269,1.32509,1.63065,1.71232,0.000638047,0.000638047,0.000638047
45,2358.41,0.90227,0.99839,1.22171,0.46722,0.58613,0.54605,0.34933,1.34081,1.58876,1.73896,0.000627048,0.000627048,0.000627048
46,2410.23,0.9221,0.99573,1.23336,0.49212,0.58034,0.52314,0.33841,1.26827,1.45918,1.69,0.000616049,0.000616049,0.000616049
47,2461.99,0.88311,0.95719,1.222,0.52873,0.66616,0.57805,0.36789,1.37291,1.50311,1.7569,0.000605051,0.000605051,0.000605051
48,2513.78,0.89858,0.98298,1.22526,0.46675,0.61252,0.50442,0.32478,1.30251,1.56401,1.68787,0.000594052,0.000594052,0.000594052
49,2565.54,0.87626,0.92597,1.21715,0.58442,0.62304,0.55372,0.36218,1.33327,1.42919,1.70905,0.000583053,0.000583053,0.000583053
50,2617.32,0.88712,0.96687,1.20997,0.5261,0.55233,0.53338,0.34297,1.28743,1.4738,1.72793,0.000572054,0.000572054,0.000572054
51,2669.14,0.85158,0.96489,1.19736,0.54714,0.56398,0.52557,0.32707,1.31679,1.56026,1.78237,0.000561055,0.000561055,0.000561055
52,2720.92,0.85103,0.93274,1.1971,0.56577,0.60532,0.54373,0.33688,1.35095,1.62502,1.80034,0.000550056,0.000550056,0.000550056
53,2772.68,0.87779,0.90105,1.20169,0.50259,0.58079,0.53627,0.34945,1.32414,1.55773,1.73791,0.000539057,0.000539057,0.000539057
54,2824.42,0.86481,0.90283,1.20188,0.47683,0.62166,0.51404,0.33729,1.25319,1.59927,1.72611,0.000528058,0.000528058,0.000528058
55,2876.18,0.84601,0.88555,1.18367,0.49161,0.57559,0.53003,0.34226,1.31713,1.50884,1.76744,0.000517059,0.000517059,0.000517059
56,2927.93,0.84215,0.86508,1.19582,0.48377,0.58249,0.50833,0.33272,1.3056,1.59693,1.73612,0.00050606,0.00050606,0.00050606
57,2979.68,0.82371,0.8435,1.1728,0.5921,0.52999,0.53532,0.33833,1.30082,1.5052,1.72662,0.000495062,0.000495062,0.000495062
